timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1669997454.399857,-10.971,0.402,1.135,-0.0636,-0.2262,-0.007500000000000001,-0.02,0.053,0.001
1669997454.439857,-10.985,0.439,1.056,-0.0661,-0.22740000000000002,-0.0067,-0.016,0.059000000000000004,0.003
1669997454.479856,-10.918000000000001,0.401,1.068,-0.06420000000000001,-0.22790000000000002,-0.0055000000000000005,-0.014,0.04,-0.001
1669997454.519856,-10.956,0.252,1.054,-0.066,-0.22790000000000002,-0.007,-0.043000000000000003,0.028,-0.016
1669997454.559856,-10.9,0.242,1.124,-0.06430000000000001,-0.2272,-0.01,-0.061,0.013000000000000001,-0.012
1669997454.599856,-11.023,0.418,1.167,-0.06420000000000001,-0.2263,-0.005200000000000001,-0.036000000000000004,0.021,0.024
1669997454.639856,-10.942,0.241,1.1360000000000001,-0.0651,-0.2285,-0.0081,-0.022,0.022,0.013000000000000001
1669997454.679856,-10.941,0.386,1.177,-0.0668,-0.22740000000000002,-0.0061,-0.005,0.024,0.011
1669997454.719856,-10.926,0.329,1.102,-0.0644,-0.22460000000000002,-0.0078000000000000005,0.006,0.022,0.04
1669997454.759856,-11.01,0.405,1.117,-0.0659,-0.22760000000000002,-0.0045000000000000005,-0.003,0.016,0.058
1669997454.799856,-10.966000000000001,0.441,1.123,-0.0651,-0.2262,-0.007200000000000001,0.03,-0.004,0.055
1669997454.839856,-10.914,0.436,1.212,-0.0669,-0.2286,-0.0064,0.052000000000000005,-0.021,0.023
1669997454.879856,-10.962,0.53,1.193,-0.067,-0.2265,-0.007200000000000001,0.054,-0.012,0.019
1669997454.919856,-10.973,0.389,1.231,-0.0673,-0.22820000000000001,-0.007500000000000001,0.032,0.004,0.016
1669997454.959856,-10.965,0.431,1.237,-0.0668,-0.2296,-0.0046,0.014,0.034,0.027
1669997454.999856,-10.933,0.455,1.243,-0.0665,-0.2301,-0.006200000000000001,-0.013000000000000001,0.048,0.02
1669997455.039856,-10.959,0.499,1.235,-0.0664,-0.2296,-0.0059,-0.023,0.052000000000000005,0.017
1669997455.079856,-10.973,0.493,1.198,-0.0668,-0.2303,-0.0061,-0.024,0.043000000000000003,0.01
1669997455.119856,-10.902000000000001,0.466,1.23,-0.0661,-0.231,-0.0039000000000000003,-0.019,0.037,-0.005
1669997455.159856,-10.921,0.447,1.175,-0.0668,-0.2273,-0.0057,-0.033,0.028,-0.007
1669997455.199856,-10.954,0.451,1.209,-0.06760000000000001,-0.2313,-0.0251,-0.04,0.029,0.005
1669997455.239856,-10.941,0.424,1.201,-0.0685,-0.228,-0.0219,-0.043000000000000003,0.026000000000000002,0.011
1669997455.279856,-10.9,0.495,1.243,-0.069,-0.2326,0.0184,-0.01,0.018000000000000002,0.02
1669997455.319856,-10.945,0.484,1.274,-0.0682,-0.2313,-0.025,0.001,0.017,0.012
1669997455.359856,-10.935,0.449,1.256,-0.0693,-0.2272,0.0112,0.004,0.028,-0.006
1669997455.3998559,-10.883000000000001,0.467,1.262,-0.0695,-0.23070000000000002,-0.02,-0.032,0.02,-0.006
1669997455.439856,-10.993,0.428,1.276,-0.06430000000000001,-0.2293,-0.0023,-0.035,0.015,0.033
1669997455.479856,-10.915000000000001,0.5720000000000001,1.285,-0.0659,-0.2286,-0.0047,-0.035,0.029,0.032
1669997455.519855,-10.941,0.559,1.24,-0.0673,-0.22790000000000002,-0.0064,0.007,0.028,-0.005
1669997455.559855,-10.942,0.375,1.237,-0.0687,-0.23070000000000002,-0.0026000000000000003,-0.005,0.025,-0.015
1669997455.599855,-10.884,0.443,1.2770000000000001,-0.0671,-0.2303,-0.004,-0.037,0.022,0.003
